Date,Inflow-Mohembo,Rainfall-Maun,Rainfall-Shakawe
2008/11/01,285.170976,28.4,155.8
2008/12/01,533.0436768,41.2,40.6
2009/01/01,1029.012941,83,81.4
2009/02/01,969.0624864,39.1,34
2009/03/01,1919.319019,118.3,109
2009/04/01,1904.370178,0,0
2009/05/01,1427.330333,20.7,5
2009/06/01,912.042936,57.7,49.3
2009/07/01,664.3819584,0,0
2009/08/01,521.7628608,0,0
2009/09/01,410.2979184,0,0
2009/10/01,375.0195086,40.3,9.7
2009/11/01,368.428429,31.2,51.6
2009/12/01,457.6278816,109.3,133.6
2010/01/01,830.3422111,222.7,156.7
2010/02/01,1459.468636,182,67.8
2010/03/01,1491.8688,65.4,39.8
2010/04/01,2369.088,96.6,18.9
2010/05/01,2030,1,0
2010/06/01,1217,0,0
2010/07/01,907,0,0
2010/08/01,707,0,0
2010/09/01,519,0,0
2010/10/01,405.9336693,0.2,0
2010/11/01,336.486096,45.3,51.3
2010/12/01,660.1106263,84.3,107.5
2011/01/01,1351.3,186.2,142.7
2011/02/01,1330,46.3,78.6
2011/03/01,1999,130.5,66.4
2011/04/01,2407,25.1,44.4
2011/05/01,1905,0,11.3
2011/06/01,1264.582886,0,0
2011/07/01,929.8199088,0,0
2011/08/01,740.8332638,0,0
2011/09/01,552.869749,0,0
2011/10/01,434,0,0.4
2011/11/01,378,48.4,86.5
2011/12/01,665,140.5,78.9
2012/01/01,1173.368876,54.6,141.7
2012/02/01,1506.3408,62.9,127.4
2012/03/01,1408.215086,15.4,50.6
2012/04/01,1820.929371,0,0
2012/05/01,1133.086974,0,0
2012/06/01,783.0581472,0,0
2012/07/01,613.9931513,0,0
2012/08/01,491.0598309,0,0
2012/09/01,386.7747717,0,0
2012/10/01,333.7296336,16.3,16.3
2012/11/01,360.5703984,26.8,26.8
2012/12/01,554.9437008,85.5,85.5
2013/01/01,947.5439616,201.1,201.1
2013/02/01,898.6136112,27.1,27.1
2013/03/01,1424.803357,10.8,10.8
2013/04/01,1356.224472,0,0
2013/05/01,1096.440408,0,0
2013/06/01,639.7682832,0,0
2013/07/01,529.3625357,0,0
2013/08/01,447.5317219,0,0
2013/09/01,380.5651296,0.1,0.1
2013/10/01,276.3150984,3.6,3.6
2013/11/01,260.978124,64.9,64.9
2013/12/01,487.0809888,194.3,194.3
2014/01/01,681.1238592,104.8,104.8
2014/02/01,680.0220432,133.9,133.9
2014/03/01,1019.181226,203.8,203.8
2014/04/01,1505.051755,26.4,26.4
2014/05/01,1460.502706,0.1,0.1
2014/06/01,861.1313904,0.3,0.3
2014/07/01,634.7793312,0.7,0.7
2014/08/01,484.276536,0,0
2014/09/01,371.6222527,2.5,2.5
2014/10/01,312.3471905,0.3,0.3
2014/11/01,306.786312,30.3,30.3
2014/12/01,586.3283712,56.4,56.4
